読み	方言	標準語	標準語の読み	地域
かにここ	かにここ	【ギリギリ・ちょっとだけ】	ぎりぎり・ちょっとだけ	京都府
あしあらい	足洗い	【打ち上げ・慰労会】	うちあげ・いろうかい	京都府
へんねし	へんねし	【拗ねたり僻むこと】	すねたりひがむこと	京都府
てんご	てんご	【悪ふざけ・悪戯】	わるふざけ・いたずら	京都府
やすけない	やすけない	【品がなく安っぽい】	ひんがなくやすっぽい	京都府
やいと	やいと	【お灸】	おきゅう	京都府
あらくたい	あらくたい	【荒々しく乱暴】	あらあらしくらんぼう	京都府
おぶ	おぶ	【お茶】	おちゃ	京都府
ぶぶ	ぶぶ	【お茶】	おちゃ	京都府
あいさに	あいさに	【時々】	ときどき	京都府
こーとな	こーとな	【地味だが上品】	じみだがじょうひん	京都府
へたる	へたる	【風邪や疲れで動けなくなる】	かぜやつかれでうごけなくなる	京都府
だだからい	だだ辛い	【塩辛い】	しおからい	京都府
てずま	てずま	【手品】	てじな	京都府
なりくそわるい	なりくそわるい	【体裁が悪い】	ていさいがわるい	京都府
はげちょろけ	はげちょろけ	【色褪せている】	いろあせている	京都府
みょうがにわるい	冥加に悪い	【もったいない】	もったいない	京都府
じぶんどき	自分時	【食事をとる時間】	しょくじをとるじかん	京都府
けなるい	けなるい	【羨ましい】	うらやましい	京都府
けなりい	けなりい	【羨ましい】	うらやましい	京都府
ひろうす	ひろうす	【がんもどき】	がんもどき	京都府
ひりょうず	ひりょうず	【がんもどき】	がんもどき	京都府
きずい	きずい	【我儘】	わがまま	京都府
やにこい	やにこい	【ひ弱で壊れやすい】	ひよわでこわれやすい	京都府
じょさいない	じょさいない	【気が利いていて抜け目がない】	きがきいていてぬけめがない	京都府
じじむさい	じじむさい	【垢抜けておらずダサい】	あかぬけておらずださい	京都府
おはなにいく	おはなに行く	【お茶会・宴会などでお座敷へ上がる】	おちゃかい・えんかいなどでおざしきへあがる	京都府
せきもん	せきもん	【急な仕事・急ぎの物事】	きゅうなしごと・いそぎのものごと	京都府
まいまい	まいまい	【うろうろする】	うろうろする	京都府
ごきんとはん	ごきんとはん	【義理堅い・礼儀正しい・丁寧】	ぎりがたい・れいぎただしい・ていねい	京都府
ろーじ	ろーじ	【路地】	ろじ	京都府
あいや	あいや	【足】	あし	京都府
おいない	おいない	【いらっしゃい・どうぞ】	いらっしゃい・どうぞ	京都府
おくたぶれさんどした	おくたぶれさんどした	【お疲れさまでした】	おつかれさまでした	京都府
おけんたい	おけんたい	【当然】	とうぜん	京都府
おまっとさん	おまっとさん	【お待ちどうさま】	おまちどうさま	京都府
けつぎり	けつぎり	【思いっきり】	おもいっきり	京都府
さきら	さきら	【将来】	しょうらい	京都府
しゃっちもない	しゃっちもない	【馬鹿馬鹿しい・しょうもない】	ばかばかしい・しょうもない	京都府
しかつい	しかつい	【もっともらしい・しっかりとした】	もっともらしい・しっかりとした	京都府
にじくる	にじくる	【なすりつける】	なすりつける	京都府
らっちもない	らっちもない	【他愛もない】	たわいもない	京都府
やわやわ	やわやわ	【おはぎ】	おはぎ	京都府
おまく	おまく	【枕】	まくら	京都府
べた	べた	【牛車】	ぎっしゃ	京都府
できもん	できもん	【吹き出物】	ふきでもの	京都府
おあげさん	お揚げさん	【油揚げ】	あぶらあげ	京都府
よごみ	よごみ	【ヨモギ】	よもぎ	京都府
ちゃちゃ入れる	ちゃちゃいれる	【邪魔をする】	じゃまをする	京都府
おこぼ	おこぼ	【ぽっくり下駄】	ぽっくりげた	京都府
ぐじ	ぐじ	【鯛】	たい	京都府
こんじょわる	こんじょわる	【意地が悪い】	いじがわるい	京都府
ちょか	ちょか	【落ち着きがないせっかちな人】	おちつきがないせっかちなひと	京都府
あらける	あらける	【開きがある】	ひらきがある	京都府
おてぼん	おてぼん	【お盆を使わずにお茶を出すこと】	おぼんをつかわずにおちゃをだすこと	京都府
おさがり	おさがり	【雨降り・供え物を下げたもの】	あめふり・そなえものをさげたもの	京都府
おてまいり	おてまいり	【手間がかかること】	てまがかかること	京都府
こないだうち	こないだうち	【この間・先日】	このあいだ・せんじつ	京都府
まどす	まどす	【償う・弁償する】	つぐなう・べんしょうする	京都府
まねし	まねし	【真似をする人】	まねをするひと	京都府
みかさ	みかさ	【どら焼き】	どらやき	京都府
しょうびんな	しょうびんな	【思っていたより小さく貧相】	おもっていたよりちいさくひんそう	京都府
しまつする	しまつする	【節約・倹約する】	せつやく・けんやくする	京都府
おしたじ	おしたじ	【醤油】	しょうゆ	京都府
すか	すか	【はずれ】	はずれ	京都府
ねちこい	ねちこい	【しつこい】	しつこい	京都府
つくり	つくり	【お刺身】	おさしみ	京都府
やらかい	やらかい	【柔らかい】	やわらかい	京都府
あたん	あたん	【仕返し】	しかえし	京都府
はんちゃらけ	はんちゃらけ	【中途半端】	ちゅうとはんぱ	京都府
ふくろべる	ふくろべる	【ほころびる】	ほころびる	京都府
かえこと	かえこと	【交換】	こうかん	京都府
きずつない	きずつない	【心苦しい・申し訳ない】	こころぐるしい・もうしわけない	京都府
かちん	かちん	【餅】	もち	京都府
すもじ	すもじ	【寿司】	すし	京都府
あらけない	あらけない	【扱いが乱暴】	あつかいがらんぼう	京都府
かんこくさい	かんこくさい	【焦げ臭い・きな臭い】	こげくさい・きなくさい	京都府
あてもん	あてもん	【福引き】	ふくびき	京都府
いじましい	いじましい	【意地汚い】	いじきたない	京都府
もらいずて	もらいずて	【贈り物をいただいてお返しをしないこと】	おくりものをいただいておかえしをしないこと	京都府
〜とーみ	〜とーみ	【〜してごらん】	〜してごらん	京都府
おてしょ	おてしょ	【小皿】	こざら	京都府
きさんじ	きさんじ	【人懐っこい・のんき】	ひとなつっこい・のんき	京都府
ようけ	ようけ	【たくさん】	たくさん	京都府
あんする	あんする	【困る・お辞儀をする】	こまる・おじぎをする	京都府
おふくわけ	おふくわけ	【御裾分け】	おすそわけ	京都府
いか	いか	【凧】	たこ	京都府
あいさに	あいさに	【たまに】	たまに	奈良県
あいやこ	あいやこ	【共有】	きょうゆう	奈良県
あくち	あくち	【口のふちが赤くただれる】	くちのふちがあかくただれる	奈良県
あくもんじゃなー	あくもんじゃなー	【だめだ】	だめだ	奈良県
あけのひ	あけのひ	【翌日】	よくじつ	奈良県
あっちゃべら	あっちゃべら	【あちら側】	あちらがわ	奈良県
あっぺ	あっぺ	【大便】	だいべん	奈良県
あとえする	あとえする	【二の足を踏む】	にのあしをふむ	奈良県
あとにゃー	あとにゃー	【先日は】	せんじつは	奈良県
あまい	あまい	【菓子】	かし	奈良県
あも	あも	【餅】	もち	奈良県
あやかす	あやかす	【世話をかける】	せわをかける	奈良県
あんじょう	あんじょう	【うまく】	うまく	奈良県
いお	いお	【魚】	さかな	奈良県
いけいけ	いけいけ	【問い合わせ】	といあわせ	奈良県
いじりつむ	いじりつむ	【うずくまる】	うずくまる	奈良県
いっけ	いっけ	【親戚】	しんせき	奈良県
いぬ	いぬ	【帰る】	かえる	奈良県
いのく	いのく	【動く】	うごく	奈良県
いまさき	いまさき	【ついさっき】	ついさっき	奈良県
いらう	いらう	【触る】	さわる	奈良県
うたて	うたて	【情けない】	なさけない	奈良県
うわか	うわか	【表面】	ひょうめん	奈良県
うんすけ	うんすけ	【たくさん】	たくさん	奈良県
うんつく	うんつく	【馬鹿者】	ばかもの	奈良県
えーし	えーし	【資産家】	しさんか	奈良県
えらい	えらい	【たいそう、大変】	たいそう、たいへん	奈良県
おーがっそー	おーがっそー	【頭髪がぼさぼさな状態】	とうはつがぼさぼさなじょうたい	奈良県
おが	おが	【カメムシ】	かめむし	奈良県
おじゅっさん	おじゅっさん	【お住職】	おじゅうしょく	奈良県
おたいまつ	おたいまつ	【東大寺二月堂の修二会】	とうだいじにがつどうのお水取り	奈良県
おたびら	おたびら	【あぐら】	あぐら	奈良県
おっぱん	おっぱん	【仏に供える御飯】	ほとけにそなえるごはん	奈良県
おとろしい	おとろしい	【わずらわしい】	わずらわしい	奈良県
おとんぼ	おとんぼ	【末っ子】	すえっこ	奈良県
おびやご	おびやご	【赤子】	あかご	奈良県
おんづまり	おんづまり	【無理の結果】	むりのけっか	奈良県
かいとまわり	かいとまわり	【アオダイショウ】	あおだいしょう	奈良県
かいはつ	かいはつ	【十分でないこと】	じゅうぶんでないこと	奈良県
がいろくだま	がいろくだま	【おたまじゃくし】	おたまじゃくし	奈良県
かえこと	かえこと	【交換】	こうかん	奈良県
かかりがまい	かかりがまい	【関係】	かんけい	奈良県
かく	かく	【持ち上げる】	もちあげる	奈良県
かざ	かざ	【臭気】	しゅうき	奈良県
がしんたれ	がしんたれ	【けち】	けち	奈良県
がんじ	がんじ	【丸薬】	がんやく	奈良県
きける	きける	【疲れる、弱る】	つかれる、よわる	奈良県
きさんじ	きさんじ	【素直、きまじめ】	すなお、きまじめ	奈良県
きっしょ	きっしょ	【しおどき】	しおどき	奈良県
きょうとい	きょうとい	【あきれるような】	あきれるような	奈良県
きりこ	きりこ	【餅をサイの目に刻んだあられ】	もちをさいのめにきざんだあられ	奈良県
くいたち	くいたち	【食べた直後】	たべたちょくご	奈良県
ぐいち	ぐいち	【ちぐはぐ】	ちぐはぐ	奈良県
くえる	くえる	【崩れる】	くずれる	奈良県
くき	くき	【菜漬】	なづけ	奈良県
くつな	くつな	【蛇】	へび	奈良県
くみる	くみる	【朽ちる、発酵する】	くちる、はっこうする	奈良県
くもじ	くもじ	【菜漬物】	なづけもの	奈良県
ぐるめ	ぐるめ	【合算して】	がっさんして	奈良県
けなるい	けなるい	【うらやましい】	うらやましい	奈良県
げんろく	げんろく	【膝頭】	ひざがしら	奈良県
こーと	こーと	【地味】	じみ	奈良県
こくま	こくま	【松の落ち葉】	まつのおちば	奈良県
こころわるい	こころわるい	【気持ちがよくない、不快】	きもちがよくない、ふかい	奈良県
こすい	こすい	【ずるい】	ずるい	奈良県
こっとん	こっとん	【私の家】	わたしのいえ	奈良県
こまる	こまる	【はさまる】	はさまる	奈良県
ごりがん	ごりがん	【強情者】	ごうじょうもの	奈良県
ごんた	ごんた	【いたずらっこ、悪さをする子】	いたずらっこ、わるさをするこ	奈良県
さいら、さいれ	さいら、さいれ	【秋刀魚】	さんま	奈良県
さかむけ	さかむけ	【ささくれ】	ささくれ	奈良県
さかめいる	さかめいる	【酒乱】	しゅらん	奈良県
さくい	さくい	【もろい】	もろい	奈良県
ささりかんじょう	ささりかんじょう	【必要もないこと】	ひつようもないこと	奈良県
ししなげ	ししなげ	【汚い溝】	きたないみぞ	奈良県
しつべけりゃあー	しつべけりゃあー	【できるならば】	できるならば	奈良県
しなこい	しなこい	【やわらかい】	やわらかい	奈良県
じょうだり	じょうだり	【いつも】	いつも	奈良県
じょうほう	じょうほう	【両方】	りょうほう	奈良県
しょーぶわけ	しょーぶわけ	【形見分け】	かたみわけ	奈良県
しるい	しるい	【ぬかるんでいる】	ぬかるんでいる	奈良県
しわい	しわい	【けち】	けち	奈良県
すえかえし	すえかえし	【お歳暮】	おせいぼ	奈良県
ずくずく	ずくずく	【びしょびしょ】	びしょびしょ	奈良県
ずつない	ずつない	【体調が悪い】	たいちょうがわるい	奈良県
すま、すまんだ	すま、すまんだ	【隅っこ】	すみっこ	奈良県
せぇだい	せぇだい	【精一杯】	せいいっぱい	奈良県
せすい	せすい	【利益の薄い】	りえきのうすい	奈良県
せたらう	せたらう	【背負う】	せおう	奈良県
せちがいまくる	せちがいまくる	【厳しくしかる】	きびしくしかる	奈良県
せんぐり	せんぐり	【次々に】	つぎつぎに	奈良県
せんど	せんど	【何度も】	なんども	奈良県
ぞうよう	ぞうよう	【費用】	ひよう	奈良県
そーのー	そーのー	【家屋に隣接する畑】	かおくにりんせつするはたけ	奈良県
たいこうさん	たいこうさん	【背丈の低い人】	せたけのひくいひと	奈良県
ただいも	ただいも	【里芋】	さといも	奈良県
たなもと	たなもと	【流し台】	ながしだい	奈良県
たばる	たばる	【神仏の前から供え物を下げていただくこと】	しんぶつのまえからそなえものをさげていただくこと	奈良県
ため	ため	【贈答品の返礼】	ぞうとうひんのへんれい	奈良県
だんない	だんない	【差し支えない、構わない】	さしつかえない、かまわない	奈良県
ちょつくぼる	ちょつくぼる	【しゃがむ】	しゃがむ	奈良県
つかえる	つかえる	【混雑する】	こんざつする	奈良県
つべい	つべい	【できる】	できる	奈良県
つむ	つむ	【込み合う】	こみあう	奈良県
てしょ	てしょ	【皿】	さら	奈良県
でらい	でらい	【大きい】	おおきい	奈良県
てらてら	てらてら	【朝焼け】	あさやけ	奈良県
てれこ	てれこ	【反対】	はんたい	奈良県
てんごする	てんごする	【戯れる】	たわむれる	奈良県
てんちゃん	てんちゃん	【お手玉】	おてだま	奈良県
といれる	といれる	【取り込む】	とりこむ	奈良県
とうろくまめ	とうろくまめ	【インゲン豆】	いんげんまめ	奈良県
とこぎり	とこぎり	【徹底的に】	てっていてきに	奈良県
とこねん	とこねん	【夕涼みの台】	ゆうすずみのだい	奈良県
とっきょり	とっきょり	【盆や正月などの晴れの日】	ぼんやしょうがつなどのはれのひ	奈良県
どやぐ	どやぐ	【大声で叫ぶ】	おおごえでさけぶ	奈良県
どやす	どやす	【なぐりとばす】	なぐりとばす	奈良県
どろこす	どろこす	【あふれ出る】	あふれでる	奈良県
どんな	どんな	【頭の鈍い】	あたまのにぶい	奈良県
ながたん	ながたん	【包丁】	ほうちょう	奈良県
なかなか	なかなか	【どういたしまして】	どういたしまして	奈良県
なめくぢら	なめくぢら	【なめくじ】	なめくじ	奈良県
なんじゅー	なんじゅー	【困る】	こまる	奈良県
にこ	にこ	【道から立つ白い土埃】	みちからたつしろいつちぼこり	奈良県
にすい	にすい	【馬鹿な】	ばかな	奈良県
ねき	ねき	【そば】	そば	奈良県
ねそ	ねそ	【おもくるしく気の利かない人】	おもくるしくきのきかないひと	奈良県
ねぶち	ねぶち	【値打ち】	ねうち	奈良県
ねまる	ねまる	【筋肉が痛い】	きんにくがいたい	奈良県
はじし	はじし	【歯茎】	はぐき	奈良県
はそん	はそん	【修繕】	しゅうぜん	奈良県
はちがつだいみょう	はちがつだいみょう	【農家がゆっくりできる8月のこと】	のうかがゆっくりできるはちがつのこと	奈良県
はっぽする	はっぽする	【さえぎる】	さえぎる	奈良県
はわす	はわす	【もらいものをよそへ回す】	もらいものをよそへまわす	奈良県
はんがい	はんがい	【むかつく】	むかつく	奈良県
はんざいこ	はんざいこ	【隙間】	すきま	奈良県
はんつ	はんつ	【数の不揃い】	かずのふぞろい	奈良県
はんつ	はんつ	【半端】	はんぱ	奈良県
ひずかし	ひずかし	【間食】	かんしょく	奈良県
ひだるい	ひだるい	【腹が減って力が出ない】	はらがへってちからがでない	奈良県
ひだるがみ	ひだるがみ	【山中で出くわす悪霊】	さんちゅうででくわすあくりょう	奈良県
ひちてんごう	ひちてんごう	【いらないこと】	いらないこと	奈良県
ひやこい	ひやこい	【冷たい】	つめたい	奈良県
ふーする	ふーする	【服を着る】	ふくをきる	奈良県
へちゃ、へちゃむくれ	へちゃ、へちゃむくれ	【ブサイク、ブス】	ぶさいく、ぶす	奈良県
べった	べった	【最後、びり】	さいご、びり	奈良県
へんじょぉこんごぉ	へんじょぉこんごぉ	【ごたごたいうこと】	ごたごたいうこと	奈良県
へんねし	へんねし	【やきもち、嫉妬】	やきもち、しっと	奈良県
ほーせき	ほーせき	【おやつ】	おやつ	奈良県
ほげたあく	ほげたあく	【口答えする】	くちごたえする	奈良県
ほしい	ほしい	【惜しい】	おしい	奈良県
ぼっこ	ぼっこ	【すごい、ひどい】	すごい、ひどい	奈良県
ほっこりせん	ほっこりせん	【思わしくない】	おもわしくない	奈良県
ほどらい	ほどらい	【適度、良い加減】	てきど、いいかげん	奈良県
ほん	ほん	【ほんとうに】	ほんとうに	奈良県
ほんだち	ほんだち	【それでも】	それでも	奈良県
ほんま	ほんま	【ほんとう】	ほんとう	奈良県
ほんまに？	ほんまに？	【ほんとうに？】	ほんとうに？	奈良県
まいて	まいて	【仲間に入れて】	なかまにいれて	奈良県
まくばる	まくばる	【一様にいきわたる】	いちようにいきわたる	奈良県
またい	またい	【おっとりしている、のんびりしている】	おっとりしている、のんびりしている	奈良県
まっしき	まっしき	【まったく】	まったく	奈良県
まとう	まとう	【弁償する】	べんしょうする	奈良県
まねくそ	まねくそ	【ほんの少し】	ほんのすこし	奈良県
まわり	まわり	【準備】	じゅんび	奈良県
むかじ	むかじ	【百足】	むかで	奈良県
むかわり	むかわり	【一周忌】	いっしゅうき	奈良県
むげっしょ	むげっしょ	【無慈悲】	むじひ	奈良県
むねやま	むねやま	【畝傍山】	うねびやま	奈良県
めんずりほど	めんずりほど	【わずか】	わずか	奈良県
めんめ	めんめ	【わたし、各自、自分自身】	わたし、かくじ、じぶんじしん	奈良県
もむない	もむない	【おいしくない、まずい】	おいしくない、まずい	奈良県
やくたい	やくたい	【手のつけようもない】	てのつけようもない	奈良県
やにこい	やにこい	【粗悪で貧弱な】	そあくでひんじゃくな	奈良県
ようず	ようず	【むしむし暑い】	むしむしあつい	奈良県
よーず	よーず	【梅雨の蒸し暑い天候】	つゆのむしあついてんこう	奈良県
よくせき	よくせき	【よほど、よくよく】	よほど、よくよく	奈良県
よこすっぽ	よこすっぽ	【横面】	よこづら	奈良県
よさり	よさり	【夜】	よる	奈良県
よばれる	よばれる	【ごちそうになる、食べる】	ごちそうになる、たべる	奈良県
ろっく	ろっく	【平坦、平ら】	へいたん、たいら	奈良県
あた	あた	【あなた】	あなた	熊本県
あいた	あいた	【感嘆の言葉】	かんたんのことば	熊本県
あくしゃうつ	あくしゃうつ	【イライラする】	いらいらする	熊本県
あご	あご	【屁理屈を述べる様子・行動が伴っていない】	へりくつをのべるようす・こうどうがともなっていない	熊本県
あっちゃん	あっちゃん	【あっち・あそこ】	あっち・あそこ	熊本県
あど	あど	【靴のかかと部分】	くつのかかとぶぶん	熊本県
あとぜき	あとぜき	【開けた扉などを最後まで閉める】	あけたとびらなどをさいごまでしめる	熊本県
あらくたましい	あらくたましい	【荒々しい・粗雑】	あらあらしい・そざつ	熊本県
あるしこ	あるしこ	【あるだけ】	あるだけ	熊本県
あしこ	あしこ	【あれだけ】	あれだけ	熊本県
いたらんこつ	いたらんこつ	【余計なこと・悪いこと】	よけいなこと・わるいこと	熊本県
いっちょん	いっちょん	【全く】	まったく	熊本県
いみる	いみる	【増える】	ふえる	熊本県
いやしか	いやしか	【食べ方のマナーが悪い・食い尽くす】	たべかたのまなーがわるい・くいつくす	熊本県
うっちょく	うっちょく	【置いていく】	おいていく	熊本県
うしつる	うしつる	【捨てる】	すてる	熊本県
うっくざる	うっくざる	【壊れる】	こわれる	熊本県
えーくらう	えーくらう	【酔っ払い】	よっぱらい	熊本県
ええころかげん	ええころかげん	【適当】	てきとう	熊本県
えしれん	えしれん	【よく分からない・不気味】	よくわからない・ぶきみ	熊本県
えじー・おじー	えじー・おじー	【怖い】	こわい	熊本県
えらい	えらい	【たくさん】	たくさん	熊本県
おこなえんばい	おこなえんばい	【どうしようもない】	どうしようもない	熊本県
おごられる	おごられる	【怒られる】	おこられる	熊本県
おどん	おどん	【私】	わたし	熊本県
おひめさん	おひめさん	【ものもらい】	ものもらい	熊本県
おめく	おめく	【叫ぶ】	さけぶ	熊本県
おもさん	おもさん	【たくさん】	たくさん	熊本県
おる	おる	【いる】	いる	熊本県
おろよか	おろよか	【あまりいいものではない】	あまりいいものではない	熊本県
かかじる	かかじる	【かきむしる】	かきむしる	熊本県
かごむ	かごむ	【しゃがむ】	しゃがむ	熊本県
かせ	かせ	【手伝い】	てつだい	熊本県
かたる	かたる	【加わる】	くわわる	熊本県
かつがつ	かつがつ	【都度・少しずつ】	つど・すこしずつ	熊本県
かつれる	かつれる	【慌てて食べる】	あわててたべる	熊本県
かぶる	かぶる	【受ける】	うける	熊本県
がまだす	がまだす	【頑張る】	がんばる	熊本県
からう	からう	【背負う】	せおう	熊本県
かんなし	かんなし	【加減を知らない】	かげんをしらない	熊本県
きな	きな	【黄色】	きいろ	熊本県
きなっせ	きなっせ	【ここにおいで】	ここにおいで	熊本県
きびる	きびる	【くくる・結ぶ】	くくる・むすぶ	熊本県
ぎゃん	ぎゃん	【こんな感じで】	こんなかんじで	熊本県
くろち	くろち	【内出血】	ないしゅっけつ	熊本県
げさっか	げさっか	【下品】	げひん	熊本県
けつまづく	けつまづく	【転ぶ】	ころぶ	熊本県
こすか	こすか	【ケチ】	けち	熊本県
こすたくりん	こすたくりん	【ケチな人】	けちなひと	熊本県
こづむ	こづむ	【積む】	つむ	熊本県
さかたくり	さかたくり	【逆さま】	さかさま	熊本県
さしより	さしより	【とりあえず】	とりあえず	熊本県
さろく	さろく	【うろうろする】	うろうろする	熊本県
さん	さん	【方角や方向の指示につく言葉】	ほうがくやほうこうのしじにつくことば	熊本県
しかぶる	しかぶる	【漏らす】	もらす	熊本県
しきる	しきる	【できる】	できる	熊本県
しこる	しこる	【かっこつける】	かっこつける	熊本県
じじ	じじ	【魚】	さかな	熊本県
しちゃかちゃ	しちゃかちゃ	【めちゃくちゃ】	めちゃくちゃ	熊本県
しゃんもっでん	しゃんもっでん	【どうしても】	どうしても	熊本県
じゅったんぼ	じゅったんぼ	【ぐちゃぐちゃな田んぼ】	ぐちゃぐちゃなたんぼ	熊本県
しょんなか	しょんなか	【仕方がない】	しかたがない	熊本県
ずんだれ	ずんだれ	【だらしがない】	だらしがない	熊本県
せからしか	せからしか	【うるさい】	うるさい	熊本県
せせくる	せせくる	【触る・いじる】	さわる・いじる	熊本県
そーにゃ	そーにゃ	【とても】	とても	熊本県
そうすっとしゃが	そうすっとしゃが	【そうすると】	そうすると	熊本県
そりくりかえる	そりくりかえる	【のけぞる】	のけぞる	熊本県
ぞろびく	ぞろびく	【引きずる】	ひきずる	熊本県
たいぎゃ	たいぎゃ	【とても】	とても	熊本県
たきわる	たきわる	【破産する】	はさんする	熊本県
たまがる	たまがる	【びっくりする】	びっくりする	熊本県
ちぎる	ちぎる	【もぎ取る】	もぎとる	熊本県
ちゃんから	ちゃんから	【粗悪品】	そあくひん	熊本県
つ	つ	【かさぶた】	かさぶた	熊本県
つくじる	つくじる	【触る】	さわる	熊本県
つくれん	つくれん	【つまらない】	つまらない	熊本県
つこくる	つこくる	【転ぶ】	ころぶ	熊本県
つっぽぐ	つっぽぐ	【穴をあける】	あなをあける	熊本県
つめる	つめる	【鍵を閉める】	かぎをしめる	熊本県
ててんご	ててんご	【手遊び】	てあそび	熊本県
でべそ	でべそ	【目立ちたがり屋】	めだちたがりや	熊本県
てれっと	てれっと	【ぼーっとしている様子】	ぼーっとしているようす	熊本県
どーし	どーし	【すごい】	すごい	熊本県
どげだっか	どげだっか	【胃もたれするほどの濃さ・派手さ】	いもたれするほどのこさ・はでさ	熊本県
とごえる	とごえる	【ふざける】	ふざける	熊本県
とつけむにゃー	とつけむにゃー	【とんでもない】	とんでもない	熊本県
どんこん	どんこん	【どうもこうも】	どうもこうも	熊本県
なおす	なおす	【片づける】	かたづける	熊本県
なしか	なしか	【なぜ】	なぜ	熊本県
なばんごつ	なばんごつ	【大量・とても】	たいりょう・とても	熊本県
なんごつ	なんごつ	【何事】	なにごと	熊本県
なんさま	なんさま	【とにかく】	とにかく	熊本県
なんとんつくれん	なんとんつくれん	【くだらない】	くだらない	熊本県
にくじ	にくじ	【嫌味】	いやみ	熊本県
ぬすけ	ぬすけ	【まぬけ】	まぬけ	熊本県
ねまる	ねまる	【腐る】	くさる	熊本県
ねんかかる	ねんかかる	【もたれかかる】	もたれかかる	熊本県
のうなる	のうなる	【なくなる】	なくなる	熊本県
のさる	のさる	【入手する・もらう】	にゅうしゅする・もらう	熊本県
はいよ	はいよ	【ください】	ください	熊本県
はがいか	はがいか	【悔しい】	くやしい	熊本県
ばたくらう	ばたくらう	【忙しい】	いそがしい	熊本県
ばちかぶる	ばちかぶる	【罰が当たる】	ばちがあたる	熊本県
ばちくりかやす	ばちくりかやす	【ひっくり返す】	ひっくりかえす	熊本県
はってく	はってく	【行く】	いく	熊本県
はわく	はわく	【掃く】	はく	熊本県
ひだるか	ひだるか	【空腹】	くうふく	熊本県
ひっきゃぶる	ひっきゃぶる	【引きちぎる】	ひきちぎる	熊本県
びっしゃぐ	びっしゃぐ	【ぺちゃんこ】	ぺちゃんこ	熊本県
ひっと出る	ひっとでる	【出る】	でる	熊本県
ふ	ふ	【運】	うん	熊本県
ふせ	ふせ	【布の継ぎあて】	ぬののつぎあて	熊本県
ふとなる	ふとなる	【成長する】	せいちょうする	熊本県
ほぐる	ほぐる	【穴があく】	あながあく	熊本県
ぽす	ぽす	【急に出てくる擬音】	きゅうにでてくるぎおん	熊本県
ほや	ほや	【電球】	でんきゅう	熊本県
ほんな	ほんな	【本当】	ほんとう	熊本県
まうごつ	まうごつ	【とても】	とても	熊本県
まっぽし	まっぽし	【ドンピシャ】	どんぴしゃ	熊本県
まちーっと	まちーっと	【もう少し】	もうすこし	熊本県
まんまんさん	まんまんさん	【仏壇】	ぶつだん	熊本県
みょーなか	みょーなか	【妙な・気持ち悪い感じ】	みょうな・きもちわるいかんじ	熊本県
むしゃんよか	むしゃんよか	【とてもいい】	とてもいい	熊本県
むねこん	むねこん	【納得できない】	なっとくできない	熊本県
むぞらしか	むぞらしか	【かわいい】	かわいい	熊本県
ももたぐら	ももたぐら	【太もも】	ふともも	熊本県
やおいかん	やおいかん	【大変】	たいへん	熊本県
やぜらしか	やぜらしか	【うっとうしい】	うっとうしい	熊本県
ゆだれ	ゆだれ	【よだれ】	よだれ	熊本県
ようよう	ようよう	【やっと・どうにか】	やっと・どうにか	熊本県
よかしこ	よかしこ	【好きなだけ】	すきなだけ	熊本県
よな	よな	【火山灰】	かざんばい	熊本県
わさもん	わさもん	【新しいものが好きな人】	あたらしいものがすきなひと	熊本県
わるこつ	わるこつ	【悪いこと】	わるいこと	熊本県
あかか	あかか・あっか	【明るい】	あかるい	熊本県
あせくる	あせくる	【かき探す・かき集める】	かきさがす・かきあつめる	熊本県
あとぜき	あとぜき	【後を閉めよ】	あとをしめよ	熊本県
あゆる	あゆる	【落ちる】	おちる	熊本県
あらましか	あらましか	【荒々しい】	あらあらしい	熊本県
いさぎい	いさぎい	【大層・ひどく】	たいそう・ひどく	熊本県
いぬる	いぬる	【行く・去って行く・帰る】	いく・さっていく・かえる	熊本県
いばしか	いばしか	【荒っぽい・猛烈だ】	あらっぽい・もうれつだ	熊本県
ううごつ	ううごつ	【大変な事】	たいへんなこと	熊本県
ううばんぎゃあか	ううばんぎゃあか	【おおざっぱな・粗略な】	おおざっぱな・そりゃくな	熊本県
うしつる	うしつる	【放る・なくする】	ほうる・なくする	熊本県
うちあう	うちあう	【相手になる】	あいてになる	熊本県
うったわす	うったわす	【病気になる】	びょうきになる	熊本県
うっちぬ	うっちぬ	【死ぬ】	しぬ	熊本県
うっちょく	うっちょく	【放っておく】	ほうっておく	熊本県
うんぶくるる	うんぶくるる	【溺れる】	おぼれる	熊本県
おめく	おめく	【大声を出す】	おおごえをだす	熊本県
おろよか	おろよか	【良くない】	よくない	熊本県
かかじる	かかじる	【ひっかく・かきむしる】	ひっかく・かきむしる	熊本県
かずむ	かずむ	【嗅ぐ】	かぐ	熊本県
かたぐる	かたぐる	【肩に担ぐ】	かたにかつぐ	熊本県
かたる	かたる	【仲間に加わる】	なかまにくわわる	熊本県
かつるる	かつるる	【飢える】	うえる	熊本県
かぶる	かぶる	【被る・受ける】	かぶる・うける	熊本県
がまだす	がまだす	【精を出す・がんばる】	せいをだす・がんばる	熊本県
きっちゃする	きっちゃする	【苦しい思いをする】	くるしいおもいをする	熊本県
くじる	くじる	【穴をあける】	あなをあける	熊本県
くびる	くびる	【くくる・しばる・ゆわえる】	くくる・しばる・ゆわえる	熊本県
くる	くる	【行く】	いく	熊本県
